Transaction ID,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Date
1,CUST001,Male,34,Beauty,3,50,150,24-11-2023
2,CUST002,Female,26,Clothing,2,500,1000,27-02-2023
3,CUST003,Male,50,Electronics,1,30,30,13-01-2023
4,CUST004,Male,37,Clothing,1,500,500,21-05-2023
5,CUST005,Male,30,Beauty,2,50,100,06-05-2023
6,CUST006,Female,45,Beauty,1,30,30,25-04-2023
7,CUST007,Male,46,Clothing,2,25,50,13-03-2023
8,CUST008,Male,30,Electronics,4,25,100,22-02-2023
9,CUST009,Male,63,Electronics,2,300,600,13-12-2023
10,CUST010,Female,52,Clothing,4,50,200,07-10-2023
11,CUST011,Male,23,Clothing,2,50,100,14-02-2023
12,CUST012,Male,35,Beauty,3,25,75,30-10-2023
13,CUST013,Male,22,Electronics,3,500,1500,05-08-2023
14,CUST014,Male,64,Clothing,4,30,120,17-01-2023
15,CUST015,Female,42,Electronics,4,500,2000,16-01-2023
16,CUST016,Male,19,Clothing,3,500,1500,17-02-2023
17,CUST017,Female,27,Clothing,4,25,100,22-04-2023
18,CUST018,Female,47,Electronics,2,25,50,30-04-2023
19,CUST019,Female,62,Clothing,2,25,50,16-09-2023
20,CUST020,Male,22,Clothing,3,300,900,05-11-2023
21,CUST021,Female,50,Beauty,1,500,500,14-01-2023
22,CUST022,Male,18,Clothing,2,50,100,15-10-2023
23,CUST023,Female,35,Clothing,4,30,120,12-04-2023
24,CUST024,Female,49,Clothing,1,300,300,29-11-2023
25,CUST025,Female,64,Beauty,1,50,50,26-12-2023
26,CUST026,Female,28,Electronics,2,500,1000,07-10-2023
27,CUST027,Female,38,Beauty,2,25,50,03-08-2023
28,CUST028,Female,43,Beauty,1,500,500,23-04-2023
29,CUST029,Female,42,Electronics,1,30,30,18-08-2023
30,CUST030,Female,39,Beauty,3,300,900,29-10-2023
31,CUST031,Male,44,Electronics,4,300,1200,23-05-2023
32,CUST032,Male,30,Beauty,3,30,90,04-01-2023
33,CUST033,Female,50,Electronics,2,50,100,23-03-2023
34,CUST034,Female,51,Clothing,3,50,150,24-12-2023
35,CUST035,Female,58,Beauty,3,300,900,05-08-2023
36,CUST036,Male,52,Beauty,3,300,900,24-06-2023
37,CUST037,Female,18,Beauty,3,25,75,23-05-2023
38,CUST038,Male,38,Beauty,4,50,200,21-03-2023
39,CUST039,Male,23,Clothing,4,30,120,21-04-2023
40,CUST040,Male,45,Beauty,1,50,50,22-06-2023
41,CUST041,Male,34,Clothing,2,25,50,22-02-2023
42,CUST042,Male,22,Clothing,3,300,900,17-02-2023
43,CUST043,Female,48,Clothing,1,300,300,14-07-2023
44,CUST044,Female,22,Clothing,1,25,25,19-02-2023
45,CUST045,Female,55,Electronics,1,30,30,03-07-2023
46,CUST046,Female,20,Electronics,4,300,1200,26-06-2023
47,CUST047,Female,40,Beauty,3,500,1500,06-11-2023
48,CUST048,Male,54,Electronics,3,300,900,16-05-2023
49,CUST049,Female,54,Electronics,2,500,1000,23-01-2023
50,CUST050,Female,27,Beauty,3,25,75,24-08-2023
51,CUST051,Male,27,Beauty,3,25,75,02-10-2023
52,CUST052,Female,36,Beauty,1,300,300,05-03-2023
53,CUST053,Male,34,Electronics,2,50,100,13-07-2023
54,CUST054,Female,38,Electronics,3,500,1500,10-02-2023
55,CUST055,Male,31,Beauty,4,30,120,10-10-2023
56,CUST056,Female,26,Clothing,3,300,900,31-05-2023
57,CUST057,Female,63,Beauty,1,30,30,18-11-2023
58,CUST058,Male,18,Clothing,4,300,1200,13-11-2023
59,CUST059,Male,62,Clothing,1,50,50,05-07-2023
60,CUST060,Male,30,Beauty,3,50,150,23-10-2023
61,CUST061,Male,21,Beauty,4,50,200,09-04-2023
62,CUST062,Male,18,Beauty,2,50,100,27-12-2023
63,CUST063,Male,57,Electronics,2,25,50,05-02-2023
64,CUST064,Male,49,Clothing,4,25,100,24-01-2023
65,CUST065,Male,51,Electronics,4,500,2000,05-12-2023
66,CUST066,Female,45,Electronics,1,30,30,27-04-2023
67,CUST067,Female,48,Beauty,4,300,1200,29-05-2023
68,CUST068,Male,25,Electronics,1,300,300,10-02-2023
69,CUST069,Female,56,Beauty,3,25,75,30-04-2023
70,CUST070,Female,43,Clothing,1,300,300,21-02-2023
71,CUST071,Female,51,Beauty,4,25,100,14-07-2023
72,CUST072,Female,20,Electronics,4,500,2000,23-05-2023
73,CUST073,Male,29,Electronics,3,30,90,21-08-2023
74,CUST074,Female,18,Beauty,4,500,2000,22-11-2023
75,CUST075,Male,61,Beauty,4,50,200,06-07-2023
76,CUST076,Female,22,Electronics,2,50,100,25-03-2023
77,CUST077,Female,47,Clothing,2,50,100,09-07-2023
78,CUST078,Female,47,Clothing,3,500,1500,01-07-2023
79,CUST079,Male,34,Beauty,1,300,300,18-04-2023
80,CUST080,Female,64,Clothing,2,30,60,10-12-2023
81,CUST081,Male,40,Electronics,1,50,50,17-05-2023
82,CUST082,Female,32,Beauty,4,50,200,26-12-2023
83,CUST083,Male,54,Electronics,2,50,100,16-12-2023
84,CUST084,Female,38,Electronics,3,30,90,28-11-2023
85,CUST085,Male,31,Clothing,3,50,150,06-02-2023
86,CUST086,Male,19,Beauty,3,30,90,08-11-2023
87,CUST087,Female,28,Beauty,2,50,100,22-11-2023
88,CUST088,Male,56,Clothing,1,500,500,29-03-2023
89,CUST089,Female,55,Electronics,4,500,2000,01-10-2023
90,CUST090,Female,51,Electronics,1,30,30,06-05-2023
91,CUST091,Female,55,Electronics,1,500,500,25-03-2023
92,CUST092,Female,51,Electronics,4,30,120,25-08-2023
93,CUST093,Female,35,Beauty,4,500,2000,14-07-2023
94,CUST094,Female,47,Beauty,2,500,1000,19-05-2023
95,CUST095,Female,32,Clothing,2,30,60,24-11-2023
96,CUST096,Female,44,Clothing,2,300,600,19-12-2023
97,CUST097,Female,51,Beauty,2,500,1000,13-10-2023
98,CUST098,Female,55,Beauty,2,50,100,23-04-2023
99,CUST099,Female,50,Electronics,4,300,1200,17-12-2023
100,CUST100,Male,41,Electronics,1,30,30,16-06-2023
101,CUST101,Male,32,Clothing,2,300,600,29-01-2023
102,CUST102,Female,47,Beauty,2,25,50,28-04-2023
